id,duration,dispoStatus,billable,state,words
1243,291.528,XFER,1,IL,881
1244,275.688,XFER,1,AZ,784
1245,113.76,XFER,1,LA,344
1246,256.824,XFER,1,NY,896
1247,280.872,XFER,1,IN,839
1248,263.88,XFER,1,WI,704
1249,242.352,XFER,1,AZ,797
1250,44.352,XFER,0,MA,117
1251,170.064,XFER,1,OH,467
1252,291.672,XFER,1,MI,864
1253,36.864,XFER,1,OK,51
1254,79.56,XFER,1,DE,262
1255,388.296,XFER,1,GA,1202
1256,233.28,XFER,1,SC,692
1257,168.696,XFER,1,IL,506
1258,418.752,XFER,1,FL,1256
1259,145.512,XFER,1,WV,407
1260,201.456,XFER,1,PA,562
1261,110.16,XFER,1,AZ,341
1262,293.832,XFER,1,TX,934
1263,272.232,XFER,0,PA,816
1264,173.52,XFER,1,NY,493
1265,39.384,XFER,1,TX,53
1266,221.616,XFER,1,GA,647
1267,227.808,XFER,1,MI,672
1268,375.768,XFER,1,TN,1033
1269,377.568,XFER,1,NY,1137
1270,154.152,XFER,1,MI,494
1271,412.632,XFER,1,MO,1355
1272,208.08,XFER,0,MI,528
1273,216.432,XFER,0,NY,729
1274,209.016,XFER,1,MI,545
1275,158.184,XFER,1,FL,372
1276,210.528,XFER,1,WV,560
1277,342.432,XFER,1,WI,1039
1278,270.072,XFER,1,PA,799
1279,171.288,XFER,1,AR,479
1280,236.664,XFER,1,GA,722
1281,210.384,XFER,1,TX,616
1282,234.072,XFER,1,MS,668
1283,241.56,XFER,1,FL,742
1284,28.944,XFER,0,OH,33
1285,272.304,XFER,1,NY,613
1286,127.584,XFER,0,MA,378
1287,227.592,XFER,1,AL,684
1288,389.088,XFER,1,FL,1275
1289,209.808,XFER,1,MO,597
1290,176.904,XFER,1,NC,468
1291,240.624,XFER,1,OH,787
1292,378.648,XFER,1,NY,946
1293,216.72,XFER,1,MO,679
1294,357.12,XFER,1,NJ,1163
1295,241.704,XFER,1,KS,692
1296,343.152,XFER,1,FL,786
1297,38.376,XFER,1,IA,88
1298,409.464,XFER,1,GA,985
1299,209.808,XFER,1,MA,621
1300,159.408,XFER,0,IL,410
1301,154.368,XFER,1,NC,516
1302,144.864,XFER,1,NC,452
1303,257.472,XFER,1,NM,764
1304,161.208,XFER,0,GA,408
1305,201.6,XFER,0,SC,671
1306,371.88,XFER,1,IL,903
1307,190.368,XFER,0,KY,536
1308,135.504,XFER,1,FL,428
1309,180.144,XFER,0,PA,507
1310,132.84,XFER,0,NY,388
1311,24.84,XFER,0,AZ,18
1312,318.456,XFER,1,PA,912
1313,234.648,XFER,0,LA,655
1314,119.232,XFER,1,SC,333
1315,150.984,XFER,1,NY,455
1316,139.968,XFER,1,IL,408
1317,204.12,XFER,1,SC,579
1318,251.856,XFER,0,AL,768
1319,276.552,XFER,1,NJ,881
1320,343.872,XFER,1,CA,1055
1321,285.984,XFER,1,MI,921
1322,77.904,XFER,1,IL,283
1323,82.08,XFER,1,MA,298
1324,203.976,XFER,1,MS,647
1325,534.384,XFER,1,TN,1586
1326,29.592,XFER,0,CA,64
1327,137.448,XFER,1,AZ,514
1328,195.624,XFER,1,KY,623
1329,134.928,XFER,1,TX,372
1330,229.032,XFER,1,TN,800
1331,43.848,XFER,0,WV,145
1332,130.68,XFER,0,WA,369
1333,174.6,XFER,1,TX,536
1334,176.184,XFER,1,OH,384
1335,586.944,XFER,1,NM,1437
1336,85.824,XFER,1,WA,237
1337,225.864,XFER,1,WA,593
1338,381.456,XFER,1,WV,1320
1339,204.552,XFER,1,TX,660
1340,195.408,XFER,1,OK,499
